horizon_label,horizon_days,paths_simulated,expected_return,median_return,worst_5pct_return,best_5pct_return,probability_of_loss,probability_of_drawdown_10pct,probability_of_drawdown_20pct,average_simulated_max_drawdown
1m,21,5000,0.010187371264048475,0.013624161545005675,-0.08583422742933311,0.09534462215431208,0.4038,0.0574,0.0002,-0.04383294810603642
3m,63,5000,0.025468542721829357,0.028887661046613222,-0.14550336999677654,0.18525775615878698,0.394,0.2958,0.0322,-0.08320557427805815
6m,126,5000,0.05990663138348696,0.05658102205949056,-0.17834506844141712,0.30755062972919006,0.3494,0.5122,0.1038,-0.11625233250869214
1y,252,5000,0.13976899517046154,0.1250403673310979,-0.19664666021752003,0.5220883686439156,0.2778,0.7434,0.232,-0.15408829250124725
