Strategy,CAGR,Annualized_Volatility,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Max_Drawdown,Average_Drawdown,Drawdown_Duration_Days,Win_Rate,Profit_Factor,Total_Turnover,Exposure_Days_Pct
Buy And Hold,0.13178948154926884,0.14324695603654203,0.9361570155680122,1.334840412832839,0.7648946444838339,-0.17229756084670064,-0.048545871594726,314.0,0.5409123823316437,1.1746898450026229,1.0,1.0
Ema Crossover,0.09048494774110716,0.13027358047738907,0.7302568967388983,1.032692873058455,0.5720990862692149,-0.15816306984718256,-0.07259011644194122,527.0,0.5959449674149168,1.143566888335361,8.0,0.8718320057929037
Regime Aware,0.1520194203644174,0.19018060715863636,0.8408342418616475,1.1491832570241918,0.5977955968172054,-0.2543000001569133,-0.11749249039224058,594.0,0.6589427950760318,1.204468292142519,249.70000000000002,0.6574945691527878
Hybrid,0.09696127855750358,0.20341238464436404,0.5574337779661781,0.7736120124753816,0.37212324483399817,-0.26056227312743496,-0.1284766269934845,594.0,0.7002172338884866,1.134999878226193,244.0,0.5677045619116582
