,To: Sideways Low Volatility,To: Bullish High Volatility,To: Distribution / Risk-Off Regime,To: Recovery Regime,To: Bullish Low Volatility,To: Bearish High Volatility
From: Sideways Low Volatility,0.9329896907216495,0.010309278350515464,0.041237113402061855,0.0,0.015463917525773196,0.0
From: Bullish High Volatility,0.03260869565217391,0.9021739130434783,0.0,0.0,0.0,0.06521739130434782
From: Distribution / Risk-Off Regime,0.0056657223796034,0.0,0.8555240793201133,0.06232294617563739,0.0708215297450425,0.0056657223796034
From: Recovery Regime,0.024539877300613498,0.0,0.03987730061349693,0.9141104294478528,0.003067484662576687,0.018404907975460124
From: Bullish Low Volatility,0.0,0.0,0.09797297297297297,0.0,0.902027027027027,0.0
From: Bearish High Volatility,0.0,0.06722689075630252,0.0,0.05042016806722689,0.0,0.8823529411764706
