Regime_State,Regime_Label,Total_Days,Average_Daily_Return,Median_Daily_Return,Annualized_Volatility,Annualized_Downside_Volatility,Daily_VaR_95,Daily_CVaR_95,Max_Drawdown,Probability_Positive_Day,Probability_Crash_Day_1.5pct,Transition_Risk_to_Bearish
0,Sideways Low Volatility,194,0.0016340582978971903,0.0015092343867016966,0.12002075137894581,0.06710655697088773,0.010484831354666824,0.013342486003947907,-0.048730431994232416,0.6082474226804123,0.015463917525773196,0.041237113402061855
1,Bullish High Volatility,93,0.001905464846638317,-0.00018178203854768427,0.1547187838717238,0.08023676312745971,0.013249684936046169,0.014964065631468126,-0.034878623753069375,0.4838709677419355,0.021505376344086023,0.06521739130434782
2,Distribution / Risk-Off Regime,353,-0.0013057459813026538,-0.0009772027556287366,0.1386595181835403,0.11591007974943729,0.014060900852023384,0.02294361365643319,-0.38140699961617575,0.45325779036827196,0.042492917847025496,0.8611898016997167
3,Recovery Regime,326,0.0004527917918722843,0.00037814273539138465,0.14815089831224673,0.09941011589362,0.014932383199930399,0.01873878174117855,-0.0563519759365066,0.5122699386503068,0.049079754601226995,0.05828220858895705
4,Bullish Low Volatility,296,0.0033646238678924417,0.0026329924382536563,0.09899647383472412,0.038822086689871416,0.0059646824901542495,0.009159172461679677,-0.015070680468092403,0.722972972972973,0.0033783783783783786,0.09797297297297297
5,Bearish High Volatility,119,-0.003701073187983678,-0.0019559171203674675,0.20587214532600961,0.18459076704593416,0.026379749115209128,0.032469682108867304,-0.35765379293165916,0.36134453781512604,0.19327731092436976,0.8823529411764706
