Strategy,CAGR,Annualized_Volatility,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Max_Drawdown,Average_Drawdown,Drawdown_Duration_Days,Win_Rate,Profit_Factor,Daily_VaR_95,Daily_CVaR_95,Downside_Deviation,Worst_Month,Total_Turnover,Average_Exposure
Buy And Hold,0.09897994561334866,0.1650943739647371,0.6547315163985988,0.91928857873245,0.2574930425007082,-0.3843985245274207,-0.06981791764426401,727.0,0.5311264822134387,1.1239916931827134,0.01556536335527492,0.023657694978933757,0.11758276162187473,3.5544800438540376,1.0,1.0
Ema Crossover,0.03802804025799489,0.1266174496747109,0.35830100874020293,0.49513113451716373,0.1325860886732297,-0.2868177245330647,-0.11336800929037857,929.0,0.40810276679841895,1.0723824466593301,0.013005125084696312,0.019332527344961808,0.09162655462335531,0.8212707492152471,32.0,0.7734683794466403
Vol Targeting,0.07333204155072592,0.1351297728942859,0.5914510408533064,0.8300359395517618,0.2853788907454832,-0.2569637906965148,-0.07803223563212482,851.0,0.5296442687747036,1.1046591887984893,0.013555079562831359,0.019509849132420057,0.09628817382504708,2.1167134828060528,43.503934895286484,0.9144110212036173
Regime Aware,0.05809468154075281,0.09329851127331533,0.6520743057165997,0.9205041484832766,0.3314395703677393,-0.17527986014553276,-0.05828646808575117,578.0,0.33226284584980237,1.1522832732616324,0.00943974110495216,0.014579314982143812,0.06609156739074135,1.4771346602715982,137.5,0.5505187747035574
Hybrid,0.04118655626861334,0.08142938186311716,0.5364784590620124,0.7555351627601269,0.30506967696728254,-0.1350070471705073,-0.06694770583190988,679.0,0.28038537549407117,1.1349378951256608,0.0083947512649023,0.013152667651135546,0.05782008761141771,0.9123604536851428,126.0,0.46492094861660077
