model_type,n_components,log_likelihood,aic,bic,silhouette_score,avg_duration
GMM,2,-53906.65788399507,108087.31576799013,108803.90292000721,0.19656336328487187,1.0
HMM,2,-56076.82919429797,112431.65838859594,113158.70666691984,0.19607780170554504,28.770833333333332
GMM,3,-48535.35301879204,97482.70603758408,98560.2020471864,0.14333067892277215,1.0
HMM,3,-51461.68743806706,103347.37487613413,104456.25426465689,0.13481631311939576,15.51685393258427
GMM,4,-41576.62678957177,83703.25357914354,85141.65844633109,0.11736081171101068,1.0
HMM,4,-46836.6128723772,94247.2257447544,95748.39736978286,0.1192548376537122,11.319672131147541
GMM,5,-38347.16169000671,77382.32338001342,79181.63710478622,0.10544981210293382,1.0
HMM,5,-43199.660866394916,87127.32173278983,89031.2467206308,0.10663249356733219,10.154411764705882
GMM,6,-37508.98828957554,75843.97657915109,78004.19916150912,0.09969261909296709,1.0
HMM,6,-42201.816335296564,85289.63267059313,87606.77214755345,0.10636458289816753,9.524137931034483
