Strategy,Train_CAGR,Train_Sharpe,Train_Max_DD,Val_CAGR,Val_Sharpe,Val_Max_DD,Test_CAGR,Test_Sharpe,Test_Max_DD,Sharpe_Degradation_Pct
Buy And Hold,0.11200805616882348,0.691631476909766,-0.38439852452742046,0.11212089301589012,0.8265505938050738,-0.16465934060306922,0.038353862182605614,0.3421349814815583,-0.15766678303740864,-50.53218471052973
Ema Crossover,0.04820721347128143,0.4458093916581305,-0.2719326053537822,0.06354011238481583,0.6956558779116758,-0.09939613246320664,-0.009615150252485383,-0.03222113841247026,-0.1624306404000387,-107.22755935953433
Vol Targeting,0.09181026269497972,0.7185659124582091,-0.23813369426023295,0.10906205362816435,0.8983930533316413,-0.15943007821843336,-0.002650045773546106,0.04246527597127329,-0.16470419387061472,-94.0902740813296
Regime Aware,0.08449047794776798,0.7130597940746637,-0.2346285590515285,0.08741304505139835,1.0086771076462369,-0.11525489504588325,-0.04703488828845337,-0.37983618175995465,-0.20844710554048157,-153.26848953149397
Hybrid,0.05446957937410435,0.6414327038319656,-0.11658537530304504,0.053806317350685084,0.7671200732642847,-0.09028462824361433,-0.04050524129385158,-0.40428017769002694,-0.15132454541303048,-163.02768400719634
