Strategy,Train_CAGR,Train_Sharpe,Train_Max_DD,Val_CAGR,Val_Sharpe,Val_Max_DD,Test_CAGR,Test_Sharpe,Test_Max_DD,Sharpe_Degradation_Pct
Buy And Hold,0.11200805616882348,0.691631476909766,-0.38439852452742046,0.11212089301589012,0.8265505938050738,-0.16465934060306922,0.03985609075776697,0.3524851954137985,-0.15766678303740864,-49.03569210170785
Ema Crossover,0.04820721347128143,0.4458093916581305,-0.2719326053537822,0.06354011238481583,0.6956558779116758,-0.09939613246320664,-0.009630759877959916,-0.03224736641859606,-0.1624306404000387,-107.23344259273142
Vol Targeting,0.09181026269497972,0.7185659124582091,-0.23813369426023295,0.10906205362816435,0.8983930533316413,-0.15943007821843336,-0.0012727839747229686,0.053414416735889925,-0.16470419387061472,-92.56652510092505
Regime Aware,0.10417753672712027,0.8663357418046846,-0.22056519456173543,0.07267284880852265,0.6548457567009532,-0.19485661764291834,0.020105143443432727,0.23425845088524713,-0.14761299177821124,-72.95985383250404
Hybrid,0.057521281783528666,0.5879713927396346,-0.19247471315741335,0.06147964892534219,0.7392928843595631,-0.09685068865066356,-0.007475895316630177,-0.02344423474650806,-0.13106512021063138,-103.9873087425683
