mapping,is_cagr,is_vol,is_sharpe,is_max_dd,oos_cagr,oos_vol,oos_sharpe,oos_max_dd,total_turnover,average_exposure
conservative,0.056803419878637795,0.06937158699118161,0.8312877795875058,-0.11271660314162002,-0.025793060446705596,0.07517654110806893,-0.309925626374643,-0.12254924192218497,105.4,0.3964912280701754
conservative_trend_ema,0.04861372006307363,0.05909665042870204,0.8328965705443386,-0.07279074293919154,-0.011903161315012012,0.06730625789824249,-0.144203472605854,-0.0880759036582841,83.0,0.3226587595749938
conservative_trend_sma,0.03890406942407987,0.05802889479637932,0.686809426573923,-0.1107249936122116,-0.017582134992301546,0.06407458287796283,-0.24467892853411574,-0.10077283931669333,113.0,0.3248085001235483
conservative_vol_t_10,0.040207401393377085,0.047683212603032044,0.8506244567055695,-0.07194969160731242,-0.040274020583410675,0.05621188827149224,-0.703104713442695,-0.11293017129558627,100.28610825928199,0.30219154633860296
conservative_vol_t_12,0.044197744169353514,0.05382055251215408,0.8305718901167914,-0.08483554716794295,-0.04492274874989366,0.06252675398708221,-0.7037022265422903,-0.12831361725589055,105.552268511844,0.33571236307022584
conservative_vol_t_15,0.05352343894573308,0.059888194802377906,0.9006760094166271,-0.08893478994584658,-0.043524876107062904,0.06878844512403404,-0.6123349183668313,-0.13245793079276322,107.81080292330435,0.3671273710262359
balanced,0.08347040113984261,0.09531954573943022,0.8889938579217951,-0.14843453997723874,-0.02707721445241129,0.09833964946528072,-0.2298281208075983,-0.15767879212551672,127.5,0.5877192982456141
balanced_trend_ema,0.06621318843540558,0.08154710101075131,0.827130616076548,-0.11060646920826912,-0.014746842448396191,0.08856817703284589,-0.123357211025848,-0.12702173301336822,103.5,0.4756609834445268
balanced_trend_sma,0.05313171342167933,0.08032575335444249,0.6847567788070512,-0.15564840725721127,-0.022029730414435456,0.0841782326852922,-0.22233482316812647,-0.14263580240421284,147.5,0.4730664689893748
balanced_vol_t_10,0.0576550188712206,0.06684639107836311,0.8720855798111546,-0.10057968227373083,-0.04704029689802969,0.07480097485890237,-0.6066338505546716,-0.14399514193311042,128.88449005010386,0.4477925432422845
balanced_vol_t_12,0.06313160723389477,0.07520373354489826,0.851769398832321,-0.11851138099140524,-0.05298967345720662,0.08278001295401052,-0.6161424450491325,-0.16614034917822132,133.78333486041612,0.49768258588293623
balanced_vol_t_15,0.07628070118585262,0.08339363301447632,0.9233490192354677,-0.1245751188633337,-0.050758496230510874,0.09059593761272111,-0.529420052364855,-0.17119797840273068,134.51367927817023,0.5441327888365471
aggressive,0.09575492079117076,0.10491123896661107,0.9243672751475971,-0.1585000614035858,-0.027286339354328115,0.10319250798427394,-0.2163617829791855,-0.17310673802751952,132.0,0.6687916975537435
aggressive_trend_ema,0.07224940961989357,0.08996324239705049,0.8205439693832253,-0.12562481522441094,-0.017030052522398642,0.09369821156766882,-0.1363698847051205,-0.14710786369446552,110.2,0.5411910056832222
aggressive_trend_sma,0.057633622573803,0.08910122024771783,0.6735430274649075,-0.17859194594582764,-0.024395932916496332,0.08924789231696212,-0.23191565124166066,-0.1625712179725731,159.4,0.5390659747961454
aggressive_vol_t_10,0.06537241678547367,0.07507870898176223,0.881100329954375,-0.1130210277749637,-0.048769549608369656,0.07988278682759228,-0.5858538855332693,-0.15900308770003885,138.34517759791777,0.5112409074556978
aggressive_vol_t_12,0.07148602373246637,0.08415651340990228,0.8626694131028194,-0.13319163650617058,-0.055069951788859206,0.0879000512824157,-0.6002922249262364,-0.18209041887810803,142.38951459828883,0.5678513802426836
aggressive_vol_t_15,0.0862635220271315,0.0929476737863262,0.9368610400148903,-0.13998319001109097,-0.05251228239130945,0.09568310789939824,-0.5156403820557538,-0.18743190407624477,141.75359183438218,0.6202243414958246
