Strategy,CAGR,Annualized_Volatility,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Max_Drawdown,Average_Drawdown,Drawdown_Duration_Days,Win_Rate,Profit_Factor,Daily_VaR_95,Daily_CVaR_95,Downside_Deviation,Worst_Month,Total_Turnover,Average_Exposure
Buy And Hold,0.09923603935210745,0.16511206410220644,0.6560909217115742,0.9212056207339696,0.25815926186009214,-0.3843985245274207,-0.06981151117621055,727.0,0.5312577217692117,1.124261580729028,0.01556536335527492,0.023657694978933757,0.11759429587088983,3.5698424625306036,1.0,1.0
Ema Crossover,0.038037613346611376,0.12663308797361003,0.35834528510953895,0.49519230335234893,0.13261946558057416,-0.2868177245330647,-0.11335620197023095,929.0,0.4082036076105757,1.0723824466593301,0.013005125084696312,0.019332527344961808,0.0916378742298749,0.8212707492152471,32.0,0.7736595008648381
Vol Targeting,0.07357589417756816,0.13514335160710758,0.593086672113832,0.8323437602267316,0.2863278673549163,-0.2569637906965148,-0.0780174174718051,851.0,0.5297751420805535,1.1049620009264507,0.013555079562831359,0.019509849132420057,0.09629641560733931,2.127226265155901,43.503934895286484,0.9143898724566946
Regime Aware,0.04494226103413723,0.1162210334318743,0.4366505682344633,0.6078133739400029,0.149112524947648,-0.3013982966884642,-0.062185415085689776,663.0,0.40252038547071906,1.096201001571813,0.010796667173563895,0.017588205420273475,0.08349270099119897,1.0258773468424272,212.0,0.633493946132938
Hybrid,0.0207632508831177,0.08632383463026452,0.28136166892310527,0.38791529774688294,0.10909427987499955,-0.19032391897089634,-0.07486433505242643,610.0,0.3019520632567334,1.0671540574398337,0.008775053000424582,0.013886240766604734,0.06261216899793827,0.39101455188507916,196.5,0.4867185569557697
