Strategy,CAGR,Annualized_Volatility,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Max_Drawdown,Average_Drawdown,Drawdown_Duration_Days,Win_Rate,Profit_Factor,Daily_VaR_95,Daily_CVaR_95,Downside_Deviation,Worst_Month,Total_Turnover,Average_Exposure
Buy And Hold,0.09923603935210745,0.16511206410220644,0.6560909217115742,0.9212056207339696,0.25815926186009214,-0.3843985245274207,-0.06981151117621055,727.0,0.5312577217692117,1.124261580729028,0.01556536335527492,0.023657694978933757,0.11759429587088983,3.5698424625306036,1.0,1.0
Ema Crossover,0.038037613346611376,0.12663308797361003,0.35834528510953895,0.49519230335234893,0.13261946558057416,-0.2868177245330647,-0.11335620197023095,929.0,0.4082036076105757,1.0723824466593301,0.013005125084696312,0.019332527344961808,0.0916378742298749,0.8212707492152471,32.0,0.7736595008648381
Vol Targeting,0.07357589417756816,0.13514335160710758,0.593086672113832,0.8323437602267316,0.2863278673549163,-0.2569637906965148,-0.0780174174718051,851.0,0.5297751420805535,1.1049620009264507,0.013555079562831359,0.019509849132420057,0.09629641560733931,2.127226265155901,43.503934895286484,0.9143898724566946
Regime Aware,0.06521362937653818,0.08905947706507347,0.7540872964699928,1.0660464229053914,0.34330555513867206,-0.1899579788337428,-0.054184034574251194,495.0,0.3224610822831727,1.1852637994478912,0.008544430103923584,0.013960446975519809,0.06299783840744871,1.7581670832487264,107.0,0.5046948356807511
Hybrid,0.048564633869730756,0.07804931192799887,0.6467428653954298,0.915913832306683,0.3176917175250613,-0.15286717024940918,-0.06141335500401337,546.0,0.2789720780825303,1.168577861773398,0.007795136822929094,0.012460958705373093,0.055111991824962174,1.1416534443265105,90.0,0.43118359278477886
