mapping,is_sharpe,oos_sharpe,oos_max_dd,average_exposure,total_turnover
aggressive,0.7657152525443701,-0.013626301234725907,-0.17320215538590164,0.6866897290173792,120.0
aggressive_trend_ema,0.6160307222437754,-0.016882262789647436,-0.14867598785400302,0.5576146940120253,107.03333333333335
balanced_trend_ema,0.6348783428049474,-0.035845489475720534,-0.14102423261059324,0.5126637015072893,106.08333333333333
balanced,0.7728170014036313,-0.04887939542847719,-0.16456334940599657,0.628449056914587,120.33333333333333
conservative_trend_ema,0.6506491550665395,-0.069117943712368,-0.10819038898272205,0.3714232765011119,86.16666666666667
conservative,0.7679504569566532,-0.11053504593272696,-0.1289327258384835,0.45212503088707684,99.40000000000002
aggressive_trend_sma,0.6448439031802681,-0.14891490422479062,-0.1737909830542346,0.5522073964253357,159.20000000000002
balanced_trend_sma,0.6471436875117637,-0.1600780936176058,-0.16376692026958245,0.5098941602833374,152.83333333333334
conservative_trend_sma,0.6364539063982312,-0.18520446438810556,-0.12530650914668093,0.37399719957169913,119.3
aggressive_vol_t_15,0.8090727074403681,-0.29569657006643174,-0.18331911695719638,0.6378029445351548,132.2753453405729
balanced_vol_t_15,0.8196588702285513,-0.33598351483521044,-0.17378774022092258,0.5842234138336792,130.3907230539908
aggressive_vol_t_10,0.7706218538437501,-0.3577113639746941,-0.1553759958592871,0.5286668240061803,133.90797360489796
aggressive_vol_t_12,0.7548848113799403,-0.37947604270668817,-0.17900247618742257,0.5858004293370316,135.67532393203786
conservative_vol_t_15,0.8205767367329978,-0.4031563518290397,-0.13614590988671033,0.4210592616652882,105.2122016199183
balanced_vol_t_10,0.777302737060359,-0.40512062066437754,-0.14764072111402807,0.4847968532986556,130.26996498138678
balanced_vol_t_12,0.7634241023626513,-0.42215870525953,-0.1708308134993711,0.5368401959238015,132.69585298941516
conservative_vol_t_10,0.7733871727397222,-0.48260425430167714,-0.11694058290158948,0.35028197256206406,103.13224012302722
conservative_vol_t_12,0.7623872805899264,-0.49309200258670066,-0.1341369292311684,0.38734881831793744,105.88955475321644
