Date,Strategy,Old_Weight,New_Weight,Rebalance_Size,Transaction_Cost
2010-01-04,Buy And Hold,0.0,1.0,1.0,0.0015
2010-01-04,Vol Targeting,0.0,1.0,1.0,0.0015
2010-01-05,Vol Targeting,1.0,0.9999999999999933,6.661338147750939e-15,9.992007221626408e-18
2010-01-06,Ema Crossover,0.0,1.0,1.0,0.0015
2010-01-22,Ema Crossover,1.0,0.0,1.0,0.0015
2010-02-03,Vol Targeting,0.9999999999999933,0.9542112902890268,0.04578870971096649,6.868306456644974e-05
2010-02-04,Vol Targeting,0.9542112902890268,0.8381474079327377,0.11606388235628917,0.00017409582353443377
2010-02-05,Vol Targeting,0.8381474079327377,0.8293928286490383,0.008754579283699382,1.3131868925549072e-05
2010-02-08,Vol Targeting,0.8293928286490383,0.7677463732407163,0.06164645540832203,9.246968311248305e-05
2010-02-09,Vol Targeting,0.7677463732407163,0.7448283152185645,0.022918058022151744,3.4377087033227616e-05
2010-02-10,Vol Targeting,0.7448283152185645,0.7307728184633775,0.014055496755187025,2.1083245132780537e-05
2010-02-11,Vol Targeting,0.7307728184633775,0.7328549220313944,0.0020821035680168576,3.1231553520252863e-06
2010-02-15,Vol Targeting,0.7328549220313944,0.6981375621507082,0.03471735988068614,5.2076039821029206e-05
2010-02-16,Vol Targeting,0.6981375621507082,0.7046030197364745,0.006465457585766332,9.698186378649499e-06
2010-02-17,Vol Targeting,0.7046030197364745,0.690433918086835,0.014169101649639582,2.1253652474459374e-05
2010-02-18,Vol Targeting,0.690433918086835,0.669913122318816,0.020520795768019018,3.0781193652028524e-05
2010-02-19,Vol Targeting,0.669913122318816,0.6744850855559834,0.0045719632371674646,6.857944855751197e-06
2010-02-22,Vol Targeting,0.6744850855559834,0.6750184590668611,0.0005333735108776771,8.000602663165157e-07
2010-02-23,Vol Targeting,0.6750184590668611,0.6727464120834604,0.0022720469834006662,3.4080704751009995e-06
2010-02-24,Vol Targeting,0.6727464120834604,0.7138654484145989,0.04111903633113845,6.167855449670768e-05
2010-02-25,Vol Targeting,0.7138654484145989,0.7233633163006559,0.009497867886056999,1.4246801829085498e-05
2010-02-26,Vol Targeting,0.7233633163006559,0.7248294755287369,0.001466159228081021,2.1992388421215316e-06
